sample_type,species,model,perf_met,mean,std,min,25%,50%,75%,max
Hydroponics,Magnesium,PLS,test_rmse,3.740179212481679,0.6540810165096363,2.404371322064316,3.395228310262725,3.7766806244973212,3.957791545091229,5.24481765462841
Hydroponics,Magnesium,RF-PCA,test_rmse,4.912855574942947,0.8640775209238151,3.20152921837967,4.223249820286377,4.833255470076621,5.6596453404198215,6.576941973753369
Hydroponics,Magnesium,XGB-PCA,test_rmse,4.3846004665160505,0.934827814421135,2.5917491376983177,3.634464890551887,4.387457838212928,5.04341440650029,6.660495482968654
Hydroponics,Magnesium,DL,test_rmse,5.464856652996579,4.028532719091479,2.4377462382731743,3.3703200162044844,3.9704390794671216,5.242754439348784,17.82181974500968
Hydroponics,Sulfate,PLS,test_rmse,16.32740039157337,4.3825683119251,9.89262032798843,13.819084263204312,14.44561192055286,18.316200520678123,29.03503532220192
Hydroponics,Sulfate,RF-PCA,test_rmse,20.730695501321282,3.8041681524543023,12.319585811732171,18.78354288892335,20.762145661872054,23.323268679074292,26.729055661809408
Hydroponics,Sulfate,XGB-PCA,test_rmse,18.518373877517263,2.865098332117792,12.09746080157988,17.631806140743315,19.003007627982974,20.28525659209003,22.99430378366775
Hydroponics,Sulfate,DL,test_rmse,23.85654318508768,25.480690940664918,11.983794082571752,13.836854881596969,16.025913363025182,18.217185926942904,124.96271120297229
Hydroponics,Boron,PLS,test_rmse,0.08465429823206644,0.034571657143109794,0.0430213655360911,0.05938433447241315,0.0661144072956779,0.12798465313474167,0.1354200135662266
Hydroponics,Boron,RF-PCA,test_rmse,0.08723049688117304,0.034207876010134385,0.0424054990326064,0.05926538726520843,0.07565829283984585,0.1269305136679972,0.1332500531701808
Hydroponics,Boron,XGB-PCA,test_rmse,0.09970768339574068,0.04011855097228288,0.044743333992974,0.05571176275904555,0.11413121691876946,0.1310084921716541,0.151122395799366
Hydroponics,Boron,DL,test_rmse,0.09935555067166907,0.03380939584462505,0.0438057892433688,0.07774656222206983,0.10544232429557665,0.1265032110219219,0.1509859776795147
Hydroponics,Zinc,PLS,test_rmse,0.18589234239171062,0.0425806679112753,0.0907080307130148,0.15560797470115667,0.18712681902961537,0.21201145729912146,0.2718801218880057
Hydroponics,Zinc,RF-PCA,test_rmse,0.17066212966195468,0.044328898803114025,0.0928125150291402,0.13120696766950057,0.17085748864019965,0.20995881877993008,0.2616832661828992
Hydroponics,Zinc,XGB-PCA,test_rmse,0.19191568861665081,0.04603040177742479,0.1047975049527013,0.17192634175962535,0.1925236557072958,0.21846483046017817,0.2866780838498408
Hydroponics,Zinc,DL,test_rmse,0.21232870643768104,0.045475689972443965,0.1120178186858939,0.18644909066622378,0.20917681341749875,0.23562964656410731,0.2849595754431105
Hydroponics,Manganese,PLS,test_rmse,0.20030764498495715,0.01962732913942488,0.171989179151053,0.18701159061348865,0.19772567639490102,0.20566513103898687,0.2478583938731757
Hydroponics,Manganese,RF-PCA,test_rmse,0.19508297434185326,0.013235326128811545,0.1622997479813736,0.1856357032962529,0.1963748129598781,0.20588177576568703,0.2140845277149944
Hydroponics,Manganese,XGB-PCA,test_rmse,0.20681783990107966,0.01709084944952597,0.1583669355002987,0.19911705390878737,0.2090973618372641,0.22072302169855126,0.2283321512945958
Hydroponics,Manganese,DL,test_rmse,0.23828272998101988,0.03548615506803636,0.1651014909273871,0.21437261315476344,0.24442863929936565,0.2599853078049282,0.3017288135813841
Hydroponics,Iron,PLS,test_rmse,0.19294180152967952,0.07644150902139481,0.1081487381866376,0.13234396578828783,0.200923264190945,0.22459619207627343,0.4318230130398108
Hydroponics,Iron,RF-PCA,test_rmse,0.19511365659555016,0.03165521932888177,0.1476290844056683,0.1814348869794909,0.19108656523328155,0.20470448931305116,0.2780454851477751
Hydroponics,Iron,XGB-PCA,test_rmse,0.18282735529448454,0.035483628091725186,0.1334921074814717,0.16001573987181314,0.18089363187732693,0.1970187958979445,0.2854940843322944
Hydroponics,Iron,DL,test_rmse,0.18527219799402406,0.1068140995826969,0.0991771798624124,0.12379561609552908,0.1561869576029271,0.1753757530509582,0.4860766323734649
Hydroponics,Copper,PLS,test_rmse,0.09606068894489886,0.013956840332093544,0.0758888989821385,0.08441894724603241,0.09213092394639685,0.10792941032545214,0.1213857464360128
