OBJECTID,FID_LULC_s,LANDUSE_CO,LANDUSE_DE,LEVEL1_LAN,LEVEL1_L_1,LEVEL2_LAN,LEVEL2_L_1,LANDCOVER_,LANDCOVER1,WATER_MANA,LANDUSE_YE,FID_waters,Id,Name,Area,Area_sq_ft,Shape_Leng,Shape_Area
65,463,1100,"1100: Low Density, <2 dwelling units/acre",1000,Urban and Built-Up,1100,Residential Low Density,1100,"1100: Low Density, <2 dwelling units/acre",SJR,2013-2016,5,0,Hatchet Creek,1671797400.58000000000,1671797400.58000000000,1025.15529763000,40627.17030720000
66,464,1100,"1100: Low Density, <2 dwelling units/acre",1000,Urban and Built-Up,1100,Residential Low Density,1100,"1100: Low Density, <2 dwelling units/acre",SJR,2013-2016,6,0,Hogtown Creek Downstream,0.00000000000,1035612802.64000000000,2788.05659976000,173435.51269600000
67,465,1100,"1100: Low Density, <2 dwelling units/acre",1000,Urban and Built-Up,1100,Residential Low Density,1100,"1100: Low Density, <2 dwelling units/acre",SJR,2013-2016,6,0,Hogtown Creek Downstream,0.00000000000,1035612802.64000000000,1426.76261759000,103894.20965400000
68,466,1100,"1100: Low Density, <2 dwelling units/acre",1000,Urban and Built-Up,1100,Residential Low Density,1100,"1100: Low Density, <2 dwelling units/acre",SJR,2013-2016,6,0,Hogtown Creek Downstream,0.00000000000,1035612802.64000000000,2530.38124886000,163381.41451000000
69,468,1100,"1100: Low Density, <2 dwelling units/acre",1000,Urban and Built-Up,1100,Residential Low Density,1100,"1100: Low Density, <2 dwelling units/acre",SJR,2013-2016,6,0,Hogtown Creek Downstream,0.00000000000,1035612802.64000000000,426.18800708900,11336.86627360000
70,470,1100,"1100: Low Density, <2 dwelling units/acre",1000,Urban and Built-Up,1100,Residential Low Density,1100,"1100: Low Density, <2 dwelling units/acre",SJR,2013-2016,6,0,Hogtown Creek Downstream,0.00000000000,1035612802.64000000000,286.30198619100,4623.84515215000
71,471,1100,"1100: Low Density, <2 dwelling units/acre",1000,Urban and Built-Up,1100,Residential Low Density,1100,"1100: Low Density, <2 dwelling units/acre",SJR,2013-2016,6,0,Hogtown Creek Downstream,0.00000000000,1035612802.64000000000,2358.76793992000,67764.28720910000
72,473,1100,"1100: Low Density, <2 dwelling units/acre",1000,Urban and Built-Up,1100,Residential Low Density,1100,"1100: Low Density, <2 dwelling units/acre",SJR,2013-2016,6,0,Hogtown Creek Downstream,0.00000000000,1035612802.64000000000,1556.80202784000,68477.78622560000
73,477,1100,"1100: Low Density, <2 dwelling units/acre",1000,Urban and Built-Up,1100,Residential Low Density,1100,"1100: Low Density, <2 dwelling units/acre",SJR,2013-2016,6,0,Hogtown Creek Downstream,0.00000000000,1035612802.64000000000,3644.41391106000,248093.66853600000
74,478,1100,"1100: Low Density, <2 dwelling units/acre",1000,Urban and Built-Up,1100,Residential Low Density,1100,"1100: Low Density, <2 dwelling units/acre",SJR,2013-2016,6,0,Hogtown Creek Downstream,0.00000000000,1035612802.64000000000,778.79013554200,36182.44969890000
75,480,1100,"1100: Low Density, <2 dwelling units/acre",1000,Urban and Built-Up,1100,Residential Low Density,1100,"1100: Low Density, <2 dwelling units/acre",SJR,2013-2016,6,0,Hogtown Creek Downstream,0.00000000000,1035612802.64000000000,808.37155811500,23740.77855500000
76,481,1100,"1100: Low Density, <2 dwelling units/acre",1000,Urban and Built-Up,1100,Residential Low Density,1100,"1100: Low Density, <2 dwelling units/acre",SJR,2013-2016,6,0,Hogtown Creek Downstream,0.00000000000,1035612802.64000000000,8550.04696893000,588852.85562400000
77,489,1100,"1100: Low Density, <2 dwelling units/acre",1000,Urban and Built-Up,1100,Residential Low Density,1100,"1100: Low Density, <2 dwelling units/acre",SJR,2013-2016,6,0,Hogtown Creek Downstream,0.00000000000,1035612802.64000000000,1011.09340456000,59455.58238240000
78,491,1100,"1100: Low Density, <2 dwelling units/acre",1000,Urban and Built-Up,1100,Residential Low Density,1100,"1100: Low Density, <2 dwelling units/acre",SJR,2013-2016,6,0,Hogtown Creek Downstream,0.00000000000,1035612802.64000000000,1231.46566169000,74231.58322200000
