perf_met,species,model,trmt1,trmt2,meandiff,pvalue,reject
test_rsq,Phosphate-P,RF-PCA,comb,unf,0.0031990765444222524,0.9968190383961328,False
test_rsq,Phosphate-P,RF-PCA,fil,unf,-0.10365776025131823,0.0437132191814672,True
test_rsq,Phosphate-P,XGB-PCA,comb,fil,0.06394546209860957,0.3834433652466964,False
test_rsq,Phosphate-P,XGB-PCA,comb,unf,-0.02911506605173908,0.8171253504053637,False
test_rsq,Phosphate-P,XGB-PCA,fil,unf,-0.09306052815034865,0.13720131676510328,False
test_rsq,TKN,DL,comb,fil,-0.1276530947206537,0.681612949801399,False
test_rsq,TKN,DL,comb,unf,0.10017755663817587,0.7891522006962411,False
test_rsq,TKN,DL,fil,unf,0.22783065135882957,0.3012497314523367,False
test_rsq,TKN,PLS,comb,fil,-0.06299477535769399,0.9022077507129974,False
test_rsq,TKN,PLS,comb,unf,0.18860829378127064,0.40382942092710206,False
test_rsq,TKN,PLS,fil,unf,0.25160306913896463,0.20386122841451204,False
test_rsq,TKN,RF-PCA,comb,fil,0.07319843537865539,0.6938703727275779,False
test_rsq,TKN,RF-PCA,comb,unf,0.259031377197631,0.014714869235811667,True
test_rsq,TKN,RF-PCA,fil,unf,0.18583294181897558,0.10410437071157896,False
test_rsq,TKN,XGB-PCA,comb,fil,0.11569552377613285,0.5326369647306519,False
test_rsq,TKN,XGB-PCA,comb,unf,0.1893783712197576,0.19177856391177361,False
test_rsq,TKN,XGB-PCA,fil,unf,0.07368284744362474,0.7729492939728486,False
test_rsq,TN,DL,comb,fil,0.35588631688033945,0.3861173411631521,False
test_rsq,TN,DL,comb,unf,1.006374835116294,0.001180458805762119,True
test_rsq,TN,DL,fil,unf,0.6504885182359544,0.04775771565566911,True
test_rsq,TN,PLS,comb,fil,-0.07334889631785524,0.9681793206237279,False
test_rsq,TN,PLS,comb,unf,0.09042346524109002,0.952059058223159,False
test_rsq,TN,PLS,fil,unf,0.16377236155894526,0.8514870174139598,False
test_rsq,TN,RF-PCA,comb,fil,0.30426030999915443,0.39635951985276796,False
test_rsq,TN,RF-PCA,comb,unf,0.09513231226361674,0.9120132598011897,False
test_rsq,TN,RF-PCA,fil,unf,-0.2091279977355377,0.6429132013189611,False
test_rsq,TN,XGB-PCA,comb,fil,0.33491758069773536,0.4802955273560543,False
test_rsq,TN,XGB-PCA,comb,unf,0.04851965324400376,0.9844915740233563,False
test_rsq,TN,XGB-PCA,fil,unf,-0.2863979274537316,0.5836213122178762,False
test_rsq,TP,DL,comb,fil,0.0963505062772183,0.713326470992032,False
test_rsq,TP,DL,comb,unf,-0.03114412310314063,0.9650978057379053,False
test_rsq,TP,DL,fil,unf,-0.12749462938035894,0.5552510120681504,False
test_rsq,TP,PLS,comb,fil,0.141227389350401,0.2497121564314504,False
test_rsq,TP,PLS,comb,unf,0.031075081653662906,0.9332382087196275,False
test_rsq,TP,PLS,fil,unf,-0.11015230769673809,0.42583580675882937,False
test_rsq,TP,RF-PCA,comb,fil,0.19615893390128594,0.005246257227059847,True
test_rsq,TP,RF-PCA,comb,unf,-0.03446797187978709,0.8349564553815056,False
test_rsq,TP,RF-PCA,fil,unf,-0.23062690578107303,0.0009116939223757781,True
test_rsq,TP,XGB-PCA,comb,fil,0.20563982172446674,0.06249873683955154,False
test_rsq,TP,XGB-PCA,comb,unf,-0.04935076618295242,0.8447019503799292,False
test_rsq,TP,XGB-PCA,fil,unf,-0.25499058790741913,0.01588298634228591,True
