perf_met,model,sp1,sp2,meandiff,pvalue,reject
test_rsq,DL,Phosphate-P,TKN,0.045402730501920285,0.9,False
test_rsq,DL,Phosphate-P,TN,-1.4836920851391087,0.001,True
test_rsq,DL,Phosphate-P,TP,-0.015253873655273531,0.9,False
test_rsq,DL,TKN,TN,-1.529094815641029,0.001,True
test_rsq,DL,TKN,TP,-0.060656604157193816,0.9,False
test_rsq,DL,TN,TP,1.468438211483835,0.001,True
test_rsq,PLS,Ammonium-N,Nitrate-N,-2.545783450314812,0.001,True
test_rsq,PLS,Ammonium-N,ON,0.05997144064718715,0.9,False
test_rsq,PLS,Ammonium-N,OP,0.26010684939052586,0.03850296973820755,True
test_rsq,PLS,Ammonium-N,Phosphate-P,-0.1479753946443817,0.6038307581240578,False
test_rsq,PLS,Ammonium-N,TKN,-0.228113321992443,0.10886395147801609,False
test_rsq,PLS,Ammonium-N,TN,-1.5289152788124813,0.001,True
test_rsq,PLS,Ammonium-N,TP,-0.1403061695030008,0.6588254951414947,False
test_rsq,PLS,Nitrate-N,ON,2.605754890961999,0.001,True
test_rsq,PLS,Nitrate-N,OP,2.8058902997053377,0.001,True
test_rsq,PLS,Nitrate-N,Phosphate-P,2.39780805567043,0.001,True
test_rsq,PLS,Nitrate-N,TKN,2.317670128322369,0.001,True
test_rsq,PLS,Nitrate-N,TN,1.0168681715023304,0.001,True
test_rsq,PLS,Nitrate-N,TP,2.405477280811811,0.001,True
test_rsq,PLS,ON,OP,0.20013540874333874,0.23186917037115806,False
test_rsq,PLS,ON,Phosphate-P,-0.20794683529156885,0.1903449431523584,False
test_rsq,PLS,ON,TKN,-0.2880847626396301,0.013538739724614501,True
test_rsq,PLS,ON,TN,-1.5888867194596685,0.001,True
test_rsq,PLS,ON,TP,-0.20027761015018794,0.23107042747849782,False
test_rsq,PLS,OP,Phosphate-P,-0.40808224403490756,0.001,True
test_rsq,PLS,OP,TKN,-0.4882201713829689,0.001,True
test_rsq,PLS,OP,TN,-1.7890221282030072,0.001,True
test_rsq,PLS,OP,TP,-0.40041301889352665,0.001,True
