"comparison","p","comp1","comp2","sp1","sp2","mod1","mod2"
"Potassium_DL - Potassium_RF-PCA",0.470191124769952,"Potassium_DL","Potassium_RF-PCA","Potassium","Potassium","DL","RF-PCA"
"Potassium_PLS - Potassium_RF-PCA",0.293369515341471,"Potassium_PLS","Potassium_RF-PCA","Potassium","Potassium","PLS","RF-PCA"
"Potassium_DL - Potassium_XGB-PCA",0.432077703140662,"Potassium_DL","Potassium_XGB-PCA","Potassium","Potassium","DL","XGB-PCA"
"Potassium_PLS - Potassium_XGB-PCA",0.261130136642365,"Potassium_PLS","Potassium_XGB-PCA","Potassium","Potassium","PLS","XGB-PCA"
"Potassium_RF-PCA - Potassium_XGB-PCA",0.461642146223054,"Potassium_RF-PCA","Potassium_XGB-PCA","Potassium","Potassium","RF-PCA","XGB-PCA"
"Sulfate_DL - Sulfate_PLS",0.38857819344309,"Sulfate_DL","Sulfate_PLS","Sulfate","Sulfate","DL","PLS"
"Sulfate_DL - Sulfate_RF-PCA",0.350772860395339,"Sulfate_DL","Sulfate_RF-PCA","Sulfate","Sulfate","DL","RF-PCA"
"Sulfate_PLS - Sulfate_RF-PCA",0.252622010529291,"Sulfate_PLS","Sulfate_RF-PCA","Sulfate","Sulfate","PLS","RF-PCA"
"Sulfate_DL - Sulfate_XGB-PCA",0.464554780280227,"Sulfate_DL","Sulfate_XGB-PCA","Sulfate","Sulfate","DL","XGB-PCA"
"Sulfate_PLS - Sulfate_XGB-PCA",0.354949445461635,"Sulfate_PLS","Sulfate_XGB-PCA","Sulfate","Sulfate","PLS","XGB-PCA"
"Sulfate_RF-PCA - Sulfate_XGB-PCA",0.384275975572923,"Sulfate_RF-PCA","Sulfate_XGB-PCA","Sulfate","Sulfate","RF-PCA","XGB-PCA"
"Zinc_DL - Zinc_PLS",0.310756199655991,"Zinc_DL","Zinc_PLS","Zinc","Zinc","DL","PLS"
"Zinc_DL - Zinc_RF-PCA",0.225203158443044,"Zinc_DL","Zinc_RF-PCA","Zinc","Zinc","DL","RF-PCA"
"Zinc_PLS - Zinc_RF-PCA",0.397034768832483,"Zinc_PLS","Zinc_RF-PCA","Zinc","Zinc","PLS","RF-PCA"
"Zinc_DL - Zinc_XGB-PCA",0.353313019836448,"Zinc_DL","Zinc_XGB-PCA","Zinc","Zinc","DL","XGB-PCA"
"Zinc_PLS - Zinc_XGB-PCA",0.453304523042631,"Zinc_PLS","Zinc_XGB-PCA","Zinc","Zinc","PLS","XGB-PCA"
"Zinc_RF-PCA - Zinc_XGB-PCA",0.352586587015914,"Zinc_RF-PCA","Zinc_XGB-PCA","Zinc","Zinc","RF-PCA","XGB-PCA"
