"comparison","p","comp1","comp2","sp1","sp2","mod1","mod2"
"Ammonium-N_XGB-PCA - Molybdenum_DL",7.43849426498855e-15,"Ammonium-N_XGB-PCA","Molybdenum_DL","Ammonium-N","Molybdenum","XGB-PCA","DL"
"Magnesium_PLS - Molybdenum_DL",7.43849426498855e-15,"Magnesium_PLS","Molybdenum_DL","Magnesium","Molybdenum","PLS","DL"
"Magnesium_XGB-PCA - Molybdenum_DL",7.43849426498855e-15,"Magnesium_XGB-PCA","Molybdenum_DL","Magnesium","Molybdenum","XGB-PCA","DL"
"Magnesium_DL - Molybdenum_DL",7.43849426498855e-15,"Magnesium_DL","Molybdenum_DL","Magnesium","Molybdenum","DL","DL"
"Magnesium_RF-PCA - Molybdenum_DL",7.43849426498855e-15,"Magnesium_RF-PCA","Molybdenum_DL","Magnesium","Molybdenum","RF-PCA","DL"
"Phosphorus_RF-PCA - Molybdenum_DL",7.43849426498855e-15,"Phosphorus_RF-PCA","Molybdenum_DL","Phosphorus","Molybdenum","RF-PCA","DL"
"Phosphorus_PLS - Molybdenum_DL",7.43849426498855e-15,"Phosphorus_PLS","Molybdenum_DL","Phosphorus","Molybdenum","PLS","DL"
"Phosphorus_XGB-PCA - Molybdenum_DL",7.43849426498855e-15,"Phosphorus_XGB-PCA","Molybdenum_DL","Phosphorus","Molybdenum","XGB-PCA","DL"
"Calcium_XGB-PCA - Molybdenum_DL",7.43849426498855e-15,"Calcium_XGB-PCA","Molybdenum_DL","Calcium","Molybdenum","XGB-PCA","DL"
"Calcium_PLS - Molybdenum_DL",7.43849426498855e-15,"Calcium_PLS","Molybdenum_DL","Calcium","Molybdenum","PLS","DL"
"Phosphorus_DL - Molybdenum_DL",7.43849426498855e-15,"Phosphorus_DL","Molybdenum_DL","Phosphorus","Molybdenum","DL","DL"
"Calcium_RF-PCA - Molybdenum_DL",7.43849426498855e-15,"Calcium_RF-PCA","Molybdenum_DL","Calcium","Molybdenum","RF-PCA","DL"
"Calcium_DL - Molybdenum_DL",7.43849426498855e-15,"Calcium_DL","Molybdenum_DL","Calcium","Molybdenum","DL","DL"
"Sulfate_PLS - Molybdenum_DL",7.43849426498855e-15,"Sulfate_PLS","Molybdenum_DL","Sulfate","Molybdenum","PLS","DL"
"Sulfate_XGB-PCA - Molybdenum_DL",7.43849426498855e-15,"Sulfate_XGB-PCA","Molybdenum_DL","Sulfate","Molybdenum","XGB-PCA","DL"
"Sulfate_DL - Molybdenum_DL",7.43849426498855e-15,"Sulfate_DL","Molybdenum_DL","Sulfate","Molybdenum","DL","DL"
"Sulfate_RF-PCA - Molybdenum_DL",7.43849426498855e-15,"Sulfate_RF-PCA","Molybdenum_DL","Sulfate","Molybdenum","RF-PCA","DL"
"Nitrate-N_RF-PCA - Molybdenum_DL",7.43849426498855e-15,"Nitrate-N_RF-PCA","Molybdenum_DL","Nitrate-N","Molybdenum","RF-PCA","DL"
"Nitrate-N_XGB-PCA - Molybdenum_DL",7.43849426498855e-15,"Nitrate-N_XGB-PCA","Molybdenum_DL","Nitrate-N","Molybdenum","XGB-PCA","DL"
"Potassium_PLS - Molybdenum_DL",7.43849426498855e-15,"Potassium_PLS","Molybdenum_DL","Potassium","Molybdenum","PLS","DL"
"Nitrate-N_PLS - Molybdenum_DL",7.43849426498855e-15,"Nitrate-N_PLS","Molybdenum_DL","Nitrate-N","Molybdenum","PLS","DL"
"Potassium_RF-PCA - Molybdenum_DL",7.43849426498855e-15,"Potassium_RF-PCA","Molybdenum_DL","Potassium","Molybdenum","RF-PCA","DL"
"Potassium_DL - Molybdenum_DL",7.43849426498855e-15,"Potassium_DL","Molybdenum_DL","Potassium","Molybdenum","DL","DL"
"Potassium_XGB-PCA - Molybdenum_DL",7.43849426498855e-15,"Potassium_XGB-PCA","Molybdenum_DL","Potassium","Molybdenum","XGB-PCA","DL"
"Nitrate-N_DL - Molybdenum_DL",7.43849426498855e-15,"Nitrate-N_DL","Molybdenum_DL","Nitrate-N","Molybdenum","DL","DL"
"Molybdenum_RF-PCA - Molybdenum_XGB-PCA",1,"Molybdenum_RF-PCA","Molybdenum_XGB-PCA","Molybdenum","Molybdenum","RF-PCA","XGB-PCA"
"Boron_PLS - Molybdenum_XGB-PCA",7.43849426498855e-15,"Boron_PLS","Molybdenum_XGB-PCA","Boron","Molybdenum","PLS","XGB-PCA"
"Boron_RF-PCA - Molybdenum_XGB-PCA",7.43849426498855e-15,"Boron_RF-PCA","Molybdenum_XGB-PCA","Boron","Molybdenum","RF-PCA","XGB-PCA"
"Copper_RF-PCA - Molybdenum_XGB-PCA",7.43849426498855e-15,"Copper_RF-PCA","Molybdenum_XGB-PCA","Copper","Molybdenum","RF-PCA","XGB-PCA"
"Boron_XGB-PCA - Molybdenum_XGB-PCA",7.43849426498855e-15,"Boron_XGB-PCA","Molybdenum_XGB-PCA","Boron","Molybdenum","XGB-PCA","XGB-PCA"
"Boron_DL - Molybdenum_XGB-PCA",7.43849426498855e-15,"Boron_DL","Molybdenum_XGB-PCA","Boron","Molybdenum","DL","XGB-PCA"
"Copper_XGB-PCA - Molybdenum_XGB-PCA",7.43849426498855e-15,"Copper_XGB-PCA","Molybdenum_XGB-PCA","Copper","Molybdenum","XGB-PCA","XGB-PCA"
"Copper_PLS - Molybdenum_XGB-PCA",7.43849426498855e-15,"Copper_PLS","Molybdenum_XGB-PCA","Copper","Molybdenum","PLS","XGB-PCA"
"Copper_DL - Molybdenum_XGB-PCA",7.43849426498855e-15,"Copper_DL","Molybdenum_XGB-PCA","Copper","Molybdenum","DL","XGB-PCA"
"Zinc_RF-PCA - Molybdenum_XGB-PCA",7.43849426498855e-15,"Zinc_RF-PCA","Molybdenum_XGB-PCA","Zinc","Molybdenum","RF-PCA","XGB-PCA"
"Iron_DL - Molybdenum_XGB-PCA",7.43849426498855e-15,"Iron_DL","Molybdenum_XGB-PCA","Iron","Molybdenum","DL","XGB-PCA"
"Iron_XGB-PCA - Molybdenum_XGB-PCA",7.43849426498855e-15,"Iron_XGB-PCA","Molybdenum_XGB-PCA","Iron","Molybdenum","XGB-PCA","XGB-PCA"
"Iron_PLS - Molybdenum_XGB-PCA",7.43849426498855e-15,"Iron_PLS","Molybdenum_XGB-PCA","Iron","Molybdenum","PLS","XGB-PCA"
"Zinc_PLS - Molybdenum_XGB-PCA",7.43849426498855e-15,"Zinc_PLS","Molybdenum_XGB-PCA","Zinc","Molybdenum","PLS","XGB-PCA"
"Zinc_XGB-PCA - Molybdenum_XGB-PCA",7.43849426498855e-15,"Zinc_XGB-PCA","Molybdenum_XGB-PCA","Zinc","Molybdenum","XGB-PCA","XGB-PCA"
"Iron_RF-PCA - Molybdenum_XGB-PCA",7.43849426498855e-15,"Iron_RF-PCA","Molybdenum_XGB-PCA","Iron","Molybdenum","RF-PCA","XGB-PCA"
"Manganese_RF-PCA - Molybdenum_XGB-PCA",7.43849426498855e-15,"Manganese_RF-PCA","Molybdenum_XGB-PCA","Manganese","Molybdenum","RF-PCA","XGB-PCA"
"Manganese_PLS - Molybdenum_XGB-PCA",7.43849426498855e-15,"Manganese_PLS","Molybdenum_XGB-PCA","Manganese","Molybdenum","PLS","XGB-PCA"
"Manganese_XGB-PCA - Molybdenum_XGB-PCA",7.43849426498855e-15,"Manganese_XGB-PCA","Molybdenum_XGB-PCA","Manganese","Molybdenum","XGB-PCA","XGB-PCA"
"Zinc_DL - Molybdenum_XGB-PCA",7.43849426498855e-15,"Zinc_DL","Molybdenum_XGB-PCA","Zinc","Molybdenum","DL","XGB-PCA"
"Manganese_DL - Molybdenum_XGB-PCA",7.43849426498855e-15,"Manganese_DL","Molybdenum_XGB-PCA","Manganese","Molybdenum","DL","XGB-PCA"
"pH_RF-PCA - Molybdenum_XGB-PCA",7.43849426498855e-15,"pH_RF-PCA","Molybdenum_XGB-PCA","pH","Molybdenum","RF-PCA","XGB-PCA"
"pH_XGB-PCA - Molybdenum_XGB-PCA",7.43849426498855e-15,"pH_XGB-PCA","Molybdenum_XGB-PCA","pH","Molybdenum","XGB-PCA","XGB-PCA"
"pH_PLS - Molybdenum_XGB-PCA",7.43849426498855e-15,"pH_PLS","Molybdenum_XGB-PCA","pH","Molybdenum","PLS","XGB-PCA"
"pH_DL - Molybdenum_XGB-PCA",7.43849426498855e-15,"pH_DL","Molybdenum_XGB-PCA","pH","Molybdenum","DL","XGB-PCA"
"Ammonium-N_PLS - Molybdenum_XGB-PCA",7.43849426498855e-15,"Ammonium-N_PLS","Molybdenum_XGB-PCA","Ammonium-N","Molybdenum","PLS","XGB-PCA"
"Ammonium-N_RF-PCA - Molybdenum_XGB-PCA",7.43849426498855e-15,"Ammonium-N_RF-PCA","Molybdenum_XGB-PCA","Ammonium-N","Molybdenum","RF-PCA","XGB-PCA"
"Ammonium-N_DL - Molybdenum_XGB-PCA",7.43849426498855e-15,"Ammonium-N_DL","Molybdenum_XGB-PCA","Ammonium-N","Molybdenum","DL","XGB-PCA"
"Ammonium-N_XGB-PCA - Molybdenum_XGB-PCA",7.43849426498855e-15,"Ammonium-N_XGB-PCA","Molybdenum_XGB-PCA","Ammonium-N","Molybdenum","XGB-PCA","XGB-PCA"
"Magnesium_PLS - Molybdenum_XGB-PCA",7.43849426498855e-15,"Magnesium_PLS","Molybdenum_XGB-PCA","Magnesium","Molybdenum","PLS","XGB-PCA"
"Magnesium_XGB-PCA - Molybdenum_XGB-PCA",7.43849426498855e-15,"Magnesium_XGB-PCA","Molybdenum_XGB-PCA","Magnesium","Molybdenum","XGB-PCA","XGB-PCA"
"Magnesium_DL - Molybdenum_XGB-PCA",7.43849426498855e-15,"Magnesium_DL","Molybdenum_XGB-PCA","Magnesium","Molybdenum","DL","XGB-PCA"
"Magnesium_RF-PCA - Molybdenum_XGB-PCA",7.43849426498855e-15,"Magnesium_RF-PCA","Molybdenum_XGB-PCA","Magnesium","Molybdenum","RF-PCA","XGB-PCA"
"Phosphorus_RF-PCA - Molybdenum_XGB-PCA",7.43849426498855e-15,"Phosphorus_RF-PCA","Molybdenum_XGB-PCA","Phosphorus","Molybdenum","RF-PCA","XGB-PCA"
"Phosphorus_PLS - Molybdenum_XGB-PCA",7.43849426498855e-15,"Phosphorus_PLS","Molybdenum_XGB-PCA","Phosphorus","Molybdenum","PLS","XGB-PCA"
"Phosphorus_XGB-PCA - Molybdenum_XGB-PCA",7.43849426498855e-15,"Phosphorus_XGB-PCA","Molybdenum_XGB-PCA","Phosphorus","Molybdenum","XGB-PCA","XGB-PCA"
"Calcium_XGB-PCA - Molybdenum_XGB-PCA",7.43849426498855e-15,"Calcium_XGB-PCA","Molybdenum_XGB-PCA","Calcium","Molybdenum","XGB-PCA","XGB-PCA"
"Calcium_PLS - Molybdenum_XGB-PCA",7.43849426498855e-15,"Calcium_PLS","Molybdenum_XGB-PCA","Calcium","Molybdenum","PLS","XGB-PCA"
