"comparison","p","comp1","comp2","sp1","sp2","mod1","mod2"
"Boron_DL - Copper_PLS",0.461253946959494,"Boron_DL","Copper_PLS","Boron","Copper","DL","PLS"
"Boron_PLS - Copper_PLS",0.426128140310027,"Boron_PLS","Copper_PLS","Boron","Copper","PLS","PLS"
"Boron_RF-PCA - Copper_PLS",0.447499520710074,"Boron_RF-PCA","Copper_PLS","Boron","Copper","RF-PCA","PLS"
"Boron_XGB-PCA - Copper_PLS",0.444021828588863,"Boron_XGB-PCA","Copper_PLS","Boron","Copper","XGB-PCA","PLS"
"Calcium_DL - Copper_PLS",1.34052799581152e-11,"Calcium_DL","Copper_PLS","Calcium","Copper","DL","PLS"
"Calcium_PLS - Copper_PLS",1.09545198661087e-10,"Calcium_PLS","Copper_PLS","Calcium","Copper","PLS","PLS"
"Calcium_RF-PCA - Copper_PLS",1.74228979919748e-11,"Calcium_RF-PCA","Copper_PLS","Calcium","Copper","RF-PCA","PLS"
"Calcium_XGB-PCA - Copper_PLS",1.03453903137446e-10,"Calcium_XGB-PCA","Copper_PLS","Calcium","Copper","XGB-PCA","PLS"
"Copper_DL - Copper_PLS",0.471941603463378,"Copper_DL","Copper_PLS","Copper","Copper","DL","PLS"
"Ammonium-N_DL - Copper_RF-PCA",3.59719671219174e-06,"Ammonium-N_DL","Copper_RF-PCA","Ammonium-N","Copper","DL","RF-PCA"
"Ammonium-N_PLS - Copper_RF-PCA",5.29516452501518e-06,"Ammonium-N_PLS","Copper_RF-PCA","Ammonium-N","Copper","PLS","RF-PCA"
"Ammonium-N_RF-PCA - Copper_RF-PCA",4.088797583446e-06,"Ammonium-N_RF-PCA","Copper_RF-PCA","Ammonium-N","Copper","RF-PCA","RF-PCA"
"Ammonium-N_XGB-PCA - Copper_RF-PCA",2.52566847928145e-06,"Ammonium-N_XGB-PCA","Copper_RF-PCA","Ammonium-N","Copper","XGB-PCA","RF-PCA"
"Boron_DL - Copper_RF-PCA",0.405161045443495,"Boron_DL","Copper_RF-PCA","Boron","Copper","DL","RF-PCA"
"Boron_PLS - Copper_RF-PCA",0.482649503677286,"Boron_PLS","Copper_RF-PCA","Boron","Copper","PLS","RF-PCA"
"Boron_RF-PCA - Copper_RF-PCA",0.495709843001923,"Boron_RF-PCA","Copper_RF-PCA","Boron","Copper","RF-PCA","RF-PCA"
"Boron_XGB-PCA - Copper_RF-PCA",0.388390851753756,"Boron_XGB-PCA","Copper_RF-PCA","Boron","Copper","XGB-PCA","RF-PCA"
"Calcium_DL - Copper_RF-PCA",5.02312163174396e-12,"Calcium_DL","Copper_RF-PCA","Calcium","Copper","DL","RF-PCA"
"Calcium_PLS - Copper_RF-PCA",4.29008720369478e-11,"Calcium_PLS","Copper_RF-PCA","Calcium","Copper","PLS","RF-PCA"
"Calcium_RF-PCA - Copper_RF-PCA",6.56394490930386e-12,"Calcium_RF-PCA","Copper_RF-PCA","Calcium","Copper","RF-PCA","RF-PCA"
"Calcium_XGB-PCA - Copper_RF-PCA",4.04655862803904e-11,"Calcium_XGB-PCA","Copper_RF-PCA","Calcium","Copper","XGB-PCA","RF-PCA"
"Copper_DL - Copper_RF-PCA",0.415614559945675,"Copper_DL","Copper_RF-PCA","Copper","Copper","DL","RF-PCA"
"Copper_PLS - Copper_RF-PCA",0.443249583475279,"Copper_PLS","Copper_RF-PCA","Copper","Copper","PLS","RF-PCA"
"Ammonium-N_DL - Copper_XGB-PCA",6.30898278397953e-06,"Ammonium-N_DL","Copper_XGB-PCA","Ammonium-N","Copper","DL","XGB-PCA"
"Ammonium-N_PLS - Copper_XGB-PCA",9.19764221580186e-06,"Ammonium-N_PLS","Copper_XGB-PCA","Ammonium-N","Copper","PLS","XGB-PCA"
"Ammonium-N_RF-PCA - Copper_XGB-PCA",7.14837416029478e-06,"Ammonium-N_RF-PCA","Copper_XGB-PCA","Ammonium-N","Copper","RF-PCA","XGB-PCA"
"Ammonium-N_XGB-PCA - Copper_XGB-PCA",4.46842266116399e-06,"Ammonium-N_XGB-PCA","Copper_XGB-PCA","Ammonium-N","Copper","XGB-PCA","XGB-PCA"
"Boron_DL - Copper_XGB-PCA",0.452723552688781,"Boron_DL","Copper_XGB-PCA","Boron","Copper","DL","XGB-PCA"
"Boron_PLS - Copper_XGB-PCA",0.4345773539699,"Boron_PLS","Copper_XGB-PCA","Boron","Copper","PLS","XGB-PCA"
"Boron_RF-PCA - Copper_XGB-PCA",0.456017019779379,"Boron_RF-PCA","Copper_XGB-PCA","Boron","Copper","RF-PCA","XGB-PCA"
"Boron_XGB-PCA - Copper_XGB-PCA",0.435539460614119,"Boron_XGB-PCA","Copper_XGB-PCA","Boron","Copper","XGB-PCA","XGB-PCA"
"Calcium_DL - Copper_XGB-PCA",1.15769357588397e-11,"Calcium_DL","Copper_XGB-PCA","Calcium","Copper","DL","XGB-PCA"
"Calcium_PLS - Copper_XGB-PCA",9.52356320446666e-11,"Calcium_PLS","Copper_XGB-PCA","Calcium","Copper","PLS","XGB-PCA"
"Calcium_RF-PCA - Copper_XGB-PCA",1.50588438684767e-11,"Calcium_RF-PCA","Copper_XGB-PCA","Calcium","Copper","RF-PCA","XGB-PCA"
"Calcium_XGB-PCA - Copper_XGB-PCA",8.99233738465907e-11,"Calcium_XGB-PCA","Copper_XGB-PCA","Calcium","Copper","XGB-PCA","XGB-PCA"
"Copper_DL - Copper_XGB-PCA",0.463389489887093,"Copper_DL","Copper_XGB-PCA","Copper","Copper","DL","XGB-PCA"
"Copper_PLS - Copper_XGB-PCA",0.491420182123999,"Copper_PLS","Copper_XGB-PCA","Copper","Copper","PLS","XGB-PCA"
"Copper_RF-PCA - Copper_XGB-PCA",0.451755494242325,"Copper_RF-PCA","Copper_XGB-PCA","Copper","Copper","RF-PCA","XGB-PCA"
"Ammonium-N_DL - Iron_DL",0.00126621203806771,"Ammonium-N_DL","Iron_DL","Ammonium-N","Iron","DL","DL"
"Ammonium-N_PLS - Iron_DL",0.00166054684369968,"Ammonium-N_PLS","Iron_DL","Ammonium-N","Iron","PLS","DL"
"Ammonium-N_RF-PCA - Iron_DL",0.00138548111877628,"Ammonium-N_RF-PCA","Iron_DL","Ammonium-N","Iron","RF-PCA","DL"
"Ammonium-N_XGB-PCA - Iron_DL",0.000986623967609232,"Ammonium-N_XGB-PCA","Iron_DL","Ammonium-N","Iron","XGB-PCA","DL"
"Boron_DL - Iron_DL",0.109647633003824,"Boron_DL","Iron_DL","Boron","Iron","DL","DL"
"Boron_PLS - Iron_DL",0.0652771441647098,"Boron_PLS","Iron_DL","Boron","Iron","PLS","DL"
"Boron_RF-PCA - Iron_DL",0.0724670429446902,"Boron_RF-PCA","Iron_DL","Boron","Iron","RF-PCA","DL"
"Boron_XGB-PCA - Iron_DL",0.118028641647475,"Boron_XGB-PCA","Iron_DL","Boron","Iron","XGB-PCA","DL"
"Calcium_DL - Iron_DL",4.71382902299394e-08,"Calcium_DL","Iron_DL","Calcium","Iron","DL","DL"
"Calcium_PLS - Iron_DL",2.56152638425829e-07,"Calcium_PLS","Iron_DL","Calcium","Iron","PLS","DL"
"Calcium_RF-PCA - Iron_DL",5.82809176541886e-08,"Calcium_RF-PCA","Iron_DL","Calcium","Iron","RF-PCA","DL"
"Calcium_XGB-PCA - Iron_DL",2.44671627743935e-07,"Calcium_XGB-PCA","Iron_DL","Calcium","Iron","XGB-PCA","DL"
"Copper_DL - Iron_DL",0.104686877870273,"Copper_DL","Iron_DL","Copper","Iron","DL","DL"
"Copper_PLS - Iron_DL",0.0924729633179367,"Copper_PLS","Iron_DL","Copper","Iron","PLS","DL"
"Copper_RF-PCA - Iron_DL",0.0709957988034589,"Copper_RF-PCA","Iron_DL","Copper","Iron","RF-PCA","DL"
"Copper_XGB-PCA - Iron_DL",0.0889599371502769,"Copper_XGB-PCA","Iron_DL","Copper","Iron","XGB-PCA","DL"
"Ammonium-N_DL - Iron_PLS",0.0055518379660737,"Ammonium-N_DL","Iron_PLS","Ammonium-N","Iron","DL","PLS"
"Ammonium-N_PLS - Iron_PLS",0.00701841269505113,"Ammonium-N_PLS","Iron_PLS","Ammonium-N","Iron","PLS","PLS"
"Ammonium-N_RF-PCA - Iron_PLS",0.00600168784493389,"Ammonium-N_RF-PCA","Iron_PLS","Ammonium-N","Iron","RF-PCA","PLS"
"Ammonium-N_XGB-PCA - Iron_PLS",0.00447172313238087,"Ammonium-N_XGB-PCA","Iron_PLS","Ammonium-N","Iron","XGB-PCA","PLS"
"Boron_DL - Iron_PLS",0.0437787296824083,"Boron_DL","Iron_PLS","Boron","Iron","DL","PLS"
"Boron_PLS - Iron_PLS",0.0231887779409622,"Boron_PLS","Iron_PLS","Boron","Iron","PLS","PLS"
"Boron_RF-PCA - Iron_PLS",0.0263310291037011,"Boron_RF-PCA","Iron_PLS","Boron","Iron","RF-PCA","PLS"
"Boron_XGB-PCA - Iron_PLS",0.0479643269893987,"Boron_XGB-PCA","Iron_PLS","Boron","Iron","XGB-PCA","PLS"
"Calcium_DL - Iron_PLS",5.94678093097166e-07,"Calcium_DL","Iron_PLS","Calcium","Iron","DL","PLS"
"Calcium_PLS - Iron_PLS",2.79111386459349e-06,"Calcium_PLS","Iron_PLS","Calcium","Iron","PLS","PLS"
"Calcium_RF-PCA - Iron_PLS",7.22172513034719e-07,"Calcium_RF-PCA","Iron_PLS","Calcium","Iron","RF-PCA","PLS"
"Calcium_XGB-PCA - Iron_PLS",2.67689948826104e-06,"Calcium_XGB-PCA","Iron_PLS","Calcium","Iron","XGB-PCA","PLS"
"Copper_DL - Iron_PLS",0.0413429227308833,"Copper_DL","Iron_PLS","Copper","Iron","DL","PLS"
"Copper_PLS - Iron_PLS",0.0354825729395771,"Copper_PLS","Iron_PLS","Copper","Iron","PLS","PLS"
"Copper_RF-PCA - Iron_PLS",0.0256814188907063,"Copper_RF-PCA","Iron_PLS","Copper","Iron","RF-PCA","PLS"
"Copper_XGB-PCA - Iron_PLS",0.0338342132004223,"Copper_XGB-PCA","Iron_PLS","Copper","Iron","XGB-PCA","PLS"
"Iron_DL - Iron_PLS",0.315606206725954,"Iron_DL","Iron_PLS","Iron","Iron","DL","PLS"
"Ammonium-N_DL - Iron_RF-PCA",0.0072019017912294,"Ammonium-N_DL","Iron_RF-PCA","Ammonium-N","Iron","DL","RF-PCA"
"Ammonium-N_PLS - Iron_RF-PCA",0.00904104935911477,"Ammonium-N_PLS","Iron_RF-PCA","Ammonium-N","Iron","PLS","RF-PCA"
"Ammonium-N_RF-PCA - Iron_RF-PCA",0.00776755241633095,"Ammonium-N_RF-PCA","Iron_RF-PCA","Ammonium-N","Iron","RF-PCA","RF-PCA"
"Ammonium-N_XGB-PCA - Iron_RF-PCA",0.00583744724841895,"Ammonium-N_XGB-PCA","Iron_RF-PCA","Ammonium-N","Iron","XGB-PCA","RF-PCA"
"Boron_DL - Iron_RF-PCA",0.0358662403547783,"Boron_DL","Iron_RF-PCA","Boron","Iron","DL","RF-PCA"
"Boron_PLS - Iron_RF-PCA",0.0185651834732199,"Boron_PLS","Iron_RF-PCA","Boron","Iron","PLS","RF-PCA"
"Boron_RF-PCA - Iron_RF-PCA",0.0211747769490312,"Boron_RF-PCA","Iron_RF-PCA","Boron","Iron","RF-PCA","RF-PCA"
"Boron_XGB-PCA - Iron_RF-PCA",0.0394327250881689,"Boron_XGB-PCA","Iron_RF-PCA","Boron","Iron","XGB-PCA","RF-PCA"
"Calcium_DL - Iron_RF-PCA",9.44195017211613e-07,"Calcium_DL","Iron_RF-PCA","Calcium","Iron","DL","RF-PCA"
"Calcium_PLS - Iron_RF-PCA",4.30877343472104e-06,"Calcium_PLS","Iron_RF-PCA","Calcium","Iron","PLS","RF-PCA"
"Calcium_RF-PCA - Iron_RF-PCA",1.14268262983735e-06,"Calcium_RF-PCA","Iron_RF-PCA","Calcium","Iron","RF-PCA","RF-PCA"
"Calcium_XGB-PCA - Iron_RF-PCA",4.13568543566503e-06,"Calcium_XGB-PCA","Iron_RF-PCA","Calcium","Iron","XGB-PCA","RF-PCA"
"Copper_DL - Iron_RF-PCA",0.0337974953367948,"Copper_DL","Iron_RF-PCA","Copper","Iron","DL","RF-PCA"
"Copper_PLS - Iron_RF-PCA",0.0288422865609271,"Copper_PLS","Iron_RF-PCA","Copper","Iron","PLS","RF-PCA"
"Copper_RF-PCA - Iron_RF-PCA",0.0206342235982793,"Copper_RF-PCA","Iron_RF-PCA","Copper","Iron","RF-PCA","RF-PCA"
"Copper_XGB-PCA - Iron_RF-PCA",0.0274545098555792,"Copper_XGB-PCA","Iron_RF-PCA","Copper","Iron","XGB-PCA","RF-PCA"
"Iron_DL - Iron_RF-PCA",0.283522794214861,"Iron_DL","Iron_RF-PCA","Iron","Iron","DL","RF-PCA"
"Iron_PLS - Iron_RF-PCA",0.463195305084658,"Iron_PLS","Iron_RF-PCA","Iron","Iron","PLS","RF-PCA"
"Ammonium-N_DL - Iron_XGB-PCA",0.00376030535125779,"Ammonium-N_DL","Iron_XGB-PCA","Ammonium-N","Iron","DL","XGB-PCA"
"Ammonium-N_PLS - Iron_XGB-PCA",0.0048020396975617,"Ammonium-N_PLS","Iron_XGB-PCA","Ammonium-N","Iron","PLS","XGB-PCA"
"Ammonium-N_RF-PCA - Iron_XGB-PCA",0.00407860013742774,"Ammonium-N_RF-PCA","Iron_XGB-PCA","Ammonium-N","Iron","RF-PCA","XGB-PCA"
"Ammonium-N_XGB-PCA - Iron_XGB-PCA",0.00300114529624099,"Ammonium-N_XGB-PCA","Iron_XGB-PCA","Ammonium-N","Iron","XGB-PCA","XGB-PCA"
"Boron_DL - Iron_XGB-PCA",0.0576308224567761,"Boron_DL","Iron_XGB-PCA","Boron","Iron","DL","XGB-PCA"
"Boron_PLS - Iron_XGB-PCA",0.0315495205118465,"Boron_PLS","Iron_XGB-PCA","Boron","Iron","PLS","XGB-PCA"
"Boron_RF-PCA - Iron_XGB-PCA",0.0355973182095305,"Boron_RF-PCA","Iron_XGB-PCA","Boron","Iron","RF-PCA","XGB-PCA"
"Boron_XGB-PCA - Iron_XGB-PCA",0.0628263281552373,"Boron_XGB-PCA","Iron_XGB-PCA","Boron","Iron","XGB-PCA","XGB-PCA"
"Calcium_DL - Iron_XGB-PCA",3.00570222422426e-07,"Calcium_DL","Iron_XGB-PCA","Calcium","Iron","DL","XGB-PCA"
"Calcium_PLS - Iron_XGB-PCA",1.46924687779407e-06,"Calcium_PLS","Iron_XGB-PCA","Calcium","Iron","PLS","XGB-PCA"
"Calcium_RF-PCA - Iron_XGB-PCA",3.66832226522374e-07,"Calcium_RF-PCA","Iron_XGB-PCA","Calcium","Iron","RF-PCA","XGB-PCA"
"Calcium_XGB-PCA - Iron_XGB-PCA",1.40753231148248e-06,"Calcium_XGB-PCA","Iron_XGB-PCA","Calcium","Iron","XGB-PCA","XGB-PCA"
