perf_met,species,mod1,mod2,meandiff,pvalue,reject
test_rsq,Phosphorus,PLS,XGB-PCA,0.0915666973488389,0.7329231528066183,False
test_rsq,Phosphorus,RF-PCA,XGB-PCA,0.14902558636799043,0.3831826040598335,False
test_rsq,Potassium,DL,PLS,-0.3670548747921991,0.12321269032272408,False
test_rsq,Potassium,DL,RF-PCA,-0.028316505502704925,0.9,False
test_rsq,Potassium,DL,XGB-PCA,0.05397168193651547,0.9,False
test_rsq,Potassium,PLS,RF-PCA,0.3387383692894942,0.17482380451818935,False
test_rsq,Potassium,PLS,XGB-PCA,0.4210265567287146,0.05832526667017435,False
test_rsq,Potassium,RF-PCA,XGB-PCA,0.0822881874392204,0.9,False
test_rsq,Sulfate,DL,PLS,-0.3580667541715292,0.3864477598985374,False
test_rsq,Sulfate,DL,RF-PCA,0.14452407118411448,0.9,False
test_rsq,Sulfate,DL,XGB-PCA,-0.07158834879440956,0.9,False
test_rsq,Sulfate,PLS,RF-PCA,0.5025908253556437,0.1209393442890947,False
test_rsq,Sulfate,PLS,XGB-PCA,0.28647840537711966,0.5699439609119461,False
test_rsq,Sulfate,RF-PCA,XGB-PCA,-0.21611241997852404,0.7445527987271645,False
test_rsq,Zinc,DL,PLS,-0.2724215906810413,0.11225691561567563,False
test_rsq,Zinc,DL,RF-PCA,-0.4555355249076973,0.0015639648443319665,True
test_rsq,Zinc,DL,XGB-PCA,-0.21460065250380939,0.28383550048186323,False
test_rsq,Zinc,PLS,RF-PCA,-0.18311393422665592,0.4252900256704131,False
test_rsq,Zinc,PLS,XGB-PCA,0.05782093817723194,0.9,False
test_rsq,Zinc,RF-PCA,XGB-PCA,0.24093487240388786,0.1914238656492644,False
test_rsq,pH,DL,PLS,-0.2046896064098463,0.39775972022977524,False
test_rsq,pH,DL,RF-PCA,-0.46174058050727457,0.0035064674043380206,True
test_rsq,pH,DL,XGB-PCA,-0.3338577676690429,0.056729759812890856,False
test_rsq,pH,PLS,RF-PCA,-0.2570509740974283,0.2034903922624106,False
test_rsq,pH,PLS,XGB-PCA,-0.12916816125919658,0.7270613844831836,False
test_rsq,pH,RF-PCA,XGB-PCA,0.1278828128382317,0.732570982056338,False
