"comparison","p","comp1","comp2","sp1","sp2","mod1","mod2"
"Ammonium-N_RF-PCA - Copper_XGB-PCA",0.00768442335724009,"Ammonium-N_RF-PCA","Copper_XGB-PCA","Ammonium-N","Copper","RF-PCA","XGB-PCA"
"Ammonium-N_XGB-PCA - Copper_XGB-PCA",0.000885999412936399,"Ammonium-N_XGB-PCA","Copper_XGB-PCA","Ammonium-N","Copper","XGB-PCA","XGB-PCA"
"Boron_DL - Copper_XGB-PCA",0.000717308924401982,"Boron_DL","Copper_XGB-PCA","Boron","Copper","DL","XGB-PCA"
"Boron_PLS - Copper_XGB-PCA",0.0214997901005763,"Boron_PLS","Copper_XGB-PCA","Boron","Copper","PLS","XGB-PCA"
"Boron_RF-PCA - Copper_XGB-PCA",0.0098204775999105,"Boron_RF-PCA","Copper_XGB-PCA","Boron","Copper","RF-PCA","XGB-PCA"
"Boron_XGB-PCA - Copper_XGB-PCA",0.00101128770218156,"Boron_XGB-PCA","Copper_XGB-PCA","Boron","Copper","XGB-PCA","XGB-PCA"
"Calcium_DL - Copper_XGB-PCA",0.0353681311115618,"Calcium_DL","Copper_XGB-PCA","Calcium","Copper","DL","XGB-PCA"
"Calcium_PLS - Copper_XGB-PCA",0.00913692302088347,"Calcium_PLS","Copper_XGB-PCA","Calcium","Copper","PLS","XGB-PCA"
"Calcium_RF-PCA - Copper_XGB-PCA",0.0184764975577726,"Calcium_RF-PCA","Copper_XGB-PCA","Calcium","Copper","RF-PCA","XGB-PCA"
"Calcium_XGB-PCA - Copper_XGB-PCA",0.00700887070483596,"Calcium_XGB-PCA","Copper_XGB-PCA","Calcium","Copper","XGB-PCA","XGB-PCA"
"Copper_DL - Copper_XGB-PCA",0.313177163340627,"Copper_DL","Copper_XGB-PCA","Copper","Copper","DL","XGB-PCA"
"Copper_PLS - Copper_XGB-PCA",0.38633181567564,"Copper_PLS","Copper_XGB-PCA","Copper","Copper","PLS","XGB-PCA"
"Copper_RF-PCA - Copper_XGB-PCA",0.270753415207316,"Copper_RF-PCA","Copper_XGB-PCA","Copper","Copper","RF-PCA","XGB-PCA"
"Ammonium-N_DL - Iron_DL",8.91742510549353e-08,"Ammonium-N_DL","Iron_DL","Ammonium-N","Iron","DL","DL"
"Ammonium-N_PLS - Iron_DL",7.62117686268973e-07,"Ammonium-N_PLS","Iron_DL","Ammonium-N","Iron","PLS","DL"
"Ammonium-N_RF-PCA - Iron_DL",7.87494036229021e-08,"Ammonium-N_RF-PCA","Iron_DL","Ammonium-N","Iron","RF-PCA","DL"
"Ammonium-N_XGB-PCA - Iron_DL",1.37383439836513e-09,"Ammonium-N_XGB-PCA","Iron_DL","Ammonium-N","Iron","XGB-PCA","DL"
"Boron_DL - Iron_DL",9.41473747076046e-10,"Boron_DL","Iron_DL","Boron","Iron","DL","DL"
"Boron_PLS - Iron_DL",6.37166413666289e-07,"Boron_PLS","Iron_DL","Boron","Iron","PLS","DL"
"Boron_RF-PCA - Iron_DL",1.28081261116652e-07,"Boron_RF-PCA","Iron_DL","Boron","Iron","RF-PCA","DL"
"Boron_XGB-PCA - Iron_DL",1.7430393268731e-09,"Boron_XGB-PCA","Iron_DL","Boron","Iron","XGB-PCA","DL"
"Calcium_DL - Iron_DL",0.155569567815802,"Calcium_DL","Iron_DL","Calcium","Iron","DL","DL"
